City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
526,Minab,IR,80.4,clear sky,27.1467,57.0801,Bam campground
527,Beberibe,BR,82.13,overcast clouds,-4.1797,-38.1306,Villa Arte Pousada Morro Branco
528,Kalawit,PH,79.38,overcast clouds,8.0667,122.5167,Ompoy Pension House
529,Umkomaas,ZA,66.67,clear sky,-30.2067,30.7978,The Norwegian Lodge
530,Rivera,UY,66.78,broken clouds,-30.9053,-55.5508,Hotel Emirates
532,Luanda,AO,77.5,overcast clouds,-8.8368,13.2343,EPIC SANA Luanda
533,Nhulunbuy,AU,81.21,scattered clouds,-12.2333,136.7667,East Arnhem Real Estate
534,Sola,VU,81.79,overcast clouds,-13.8833,167.55,Leumerus Bungalows
535,Domingos Martins,BR,76.6,broken clouds,-20.3633,-40.6592,Hotel Recanto Europeu
538,Cururupu,BR,81.7,overcast clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
539,Tombouctou,ML,86.18,broken clouds,20.0,-3.0,
540,Aripuana,BR,87.53,broken clouds,-9.1667,-60.6333,
541,Le Vauclin,MQ,87.85,scattered clouds,14.5452,-60.8388,Hôtel Cap Macabou
542,Bandar-E Lengeh,IR,81.21,clear sky,26.5579,54.8807,کافی نت پارس
543,Matara,LK,78.87,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
544,Omboue,GA,78.85,broken clouds,-1.5746,9.2618,Hotel Olako
545,Talara,PE,71.24,overcast clouds,-4.5772,-81.2719,Hostal Oro Negro
548,Saint-Leu,RE,76.03,few clouds,-21.15,55.2833,La Caz Oceane
549,Kavaratti,IN,84.72,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
551,Namatanai,PG,79.2,light rain,-3.6667,152.4333,Seagulls Inn Namatani
552,Manokwari,ID,77.31,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
554,Debre Tabor,ET,65.48,scattered clouds,11.85,38.0167,Bahirdar
557,Chhatak,BD,74.19,overcast clouds,25.0333,91.6667,Hotel Sadi Internationl
559,Brasilia,BR,80.62,few clouds,-15.7797,-47.9297,Sia Park Executive Hotel - Uma empresa Brasal
561,Marapanim,BR,79.36,overcast clouds,-0.7175,-47.6997,Ecomangue Pousada
564,Elizabeth City,US,81.01,clear sky,36.2946,-76.2511,Hampton Inn Elizabeth City
565,Huacho,PE,70.72,scattered clouds,-11.1067,-77.605,Hotel Restaurant Turístico Casablanca
567,Sibolga,ID,76.15,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
573,Catuday,PH,80.58,overcast clouds,16.2923,119.8062,Benjie's Kubo & Cottages
574,Chokwe,MZ,65.26,clear sky,-24.5333,32.9833,Complexo Sonho Real
575,Tessalit,ML,84.87,broken clouds,20.1986,1.0114,
576,Pacific Grove,US,69.21,clear sky,36.6177,-121.9166,Lovers Point Inn
577,Harper,LR,81.19,overcast clouds,4.375,-7.7169,Screensaver
579,Quatre Cocos,MU,75.31,few clouds,-20.2078,57.7625,Sunrise Attitude Hotel
580,Dingle,PH,76.24,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
582,Salem,IN,82.13,overcast clouds,11.65,78.1667,YMCA PROGRAM CENTRE
583,Baikunthpur,IN,84.9,broken clouds,23.25,82.55,Hotel Shree Annapurna
586,Marawi,PH,69.76,overcast clouds,7.9986,124.2928,Derogongan Residence
588,Salinas,US,70.99,clear sky,36.6777,-121.6555,Laurel Inn & Conference Center
589,Cartagena,CO,83.26,overcast clouds,10.3997,-75.5144,Hotel Colombia Real - Cartagena
592,Puerto Ayacucho,VE,84.6,overcast clouds,5.6639,-67.6236,Posada Turistica Manapiare
594,Alta Floresta,BR,86.5,few clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
597,Chickasha,US,79.5,clear sky,35.0526,-97.9364,"Holiday Inn Express & Suites Chickasha, an IHG Hotel"
598,Gizo,SB,81.73,broken clouds,-8.103,156.8419,Imagination Island
601,Auki,SB,77.04,overcast clouds,-8.7676,160.7034,Auki Motel
602,Calatagan,PH,79.66,overcast clouds,13.8833,120.65,Coral Bay Rest House
603,Marolambo,MG,67.95,light rain,-20.05,48.1167,local guide suport centre
605,Porbandar,IN,83.62,clear sky,21.6422,69.6093,Lords Inn Porbandar
610,Newala,TZ,65.12,clear sky,-10.9431,39.2787,Mnyeu Newala
612,Grand-Santi,GF,82.53,overcast clouds,4.25,-54.3833,Hotel La Villa Couacou
613,Mecca,SA,85.75,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
614,Batticaloa,LK,82.49,overcast clouds,7.7102,81.6924,Grand Star Guest House
617,Banjar,ID,76.71,overcast clouds,-8.19,114.9675,The Hamsa Resort
618,Rafsanjan,IR,73.44,clear sky,30.4067,55.9939,Rafsanjan Tourism Hotel
622,Nioki,CD,73.62,light rain,-2.7167,17.6833,
623,Ambovombe,MG,68.65,few clouds,-25.1667,46.0833,RELAHARA
