City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
451,Coahuayana,18.7333,-103.6833,82.92,52,0,5.03,MX,2022-04-26 23:39:23
452,Nuuk,64.1835,-51.7216,38.01,81,75,40.29,GL,2022-04-26 23:39:23
453,Souillac,-20.5167,57.5167,73.78,88,40,4.61,MU,2022-04-26 23:39:23
454,Paharpur,32.1038,70.9724,81.48,22,3,0.47,PK,2022-04-26 23:39:24
455,Isangel,-19.55,169.2667,79.21,58,93,16.98,VU,2022-04-26 23:37:47
456,Anloga,5.7947,0.8973,82.27,83,64,12.86,GH,2022-04-26 23:40:24
457,Tipuani,-15.5648,-68.0185,73.45,93,87,1.03,BO,2022-04-26 23:40:25
458,Takoradi,4.8845,-1.7554,79.99,88,86,8.01,GH,2022-04-26 23:40:25
459,Paea,-17.6833,-149.5833,85.71,62,20,13.8,PF,2022-04-26 23:40:25
460,Ilek,51.5271,53.3831,58.14,54,96,14.45,RU,2022-04-26 23:40:26
461,Ludvika,60.1496,15.1878,32.34,59,74,5.84,SE,2022-04-26 23:40:26
462,Lorengau,-2.0226,147.2712,83.62,80,23,10.04,PG,2022-04-26 23:40:27
463,Teknaf,20.8624,92.3058,78.57,88,17,2.62,BD,2022-04-26 23:40:27
464,Tooele,40.5308,-112.2983,70.97,28,98,4.9,US,2022-04-26 23:37:45
465,Puerto Madero,14.7208,-92.4215,89.8,58,40,12.66,MX,2022-04-26 23:40:28
466,Ambanja,-13.6833,48.45,75.0,90,95,3.02,MG,2022-04-26 23:40:28
467,Marrakesh,31.6315,-8.0083,64.47,52,40,8.05,MA,2022-04-26 23:39:35
468,Salalah,17.0151,54.0924,82.49,74,20,3.44,OM,2022-04-26 23:40:28
469,Montevideo,-34.8335,-56.1674,72.82,83,40,13.8,UY,2022-04-26 23:38:31
470,Brindisi,40.5833,17.6667,58.78,68,0,2.82,IT,2022-04-26 23:40:29
471,Novonikolayevskiy,50.9738,42.3649,57.78,72,100,4.79,RU,2022-04-26 23:40:29
472,Tiruchchendur,8.4833,78.1167,83.3,75,79,2.57,IN,2022-04-26 23:40:29
473,Allanridge,-27.7543,26.6438,49.37,38,0,4.65,ZA,2022-04-26 23:40:30
474,Trairi,-3.2778,-39.2689,75.72,91,90,6.87,BR,2022-04-26 23:38:01
475,Merauke,-8.4667,140.3333,82.67,73,97,5.39,ID,2022-04-26 23:40:30
476,Hauzenberg,48.65,13.6333,46.85,91,100,1.16,DE,2022-04-26 23:40:31
477,Kropotkin,45.4375,40.5756,56.84,91,48,6.46,RU,2022-04-26 23:40:31
478,Svetlaya,46.5389,138.3297,45.59,68,95,11.97,RU,2022-04-26 23:40:31
479,Tommot,58.9564,126.2925,32.72,75,87,1.77,RU,2022-04-26 23:40:32
480,Longjiang,47.3303,123.1836,45.79,41,5,15.95,CN,2022-04-26 23:40:32
481,Sisimiut,66.9395,-53.6735,33.3,93,100,14.38,GL,2022-04-26 23:40:32
482,Xuanzhou,30.9525,118.7553,65.88,77,98,15.03,CN,2022-04-26 23:40:33
483,Ikom,5.9667,8.7063,75.97,93,100,2.1,NG,2022-04-26 23:40:33
484,Payo,-3.7508,103.6372,73.94,92,88,0.74,ID,2022-04-26 23:40:33
485,Manokwari,-0.8667,134.0833,83.84,67,65,4.32,ID,2022-04-26 23:40:34
486,Sorong,-0.8833,131.25,81.09,79,99,4.72,ID,2022-04-26 23:40:34
487,Heinola,61.2056,26.0381,28.0,77,3,6.69,FI,2022-04-26 23:40:34
488,Huainan,32.6264,116.9969,65.1,76,90,15.88,CN,2022-04-26 23:40:35
489,La Grande,45.3246,-118.0877,50.0,66,94,11.43,US,2022-04-26 23:37:12
490,La Palma,33.8464,-118.0467,86.86,54,40,10.36,US,2022-04-26 23:40:35
491,Mandera,3.9366,41.867,77.45,71,72,2.68,KE,2022-04-26 23:40:35
492,Guerrero Negro,27.9769,-114.0611,69.96,52,7,18.66,MX,2022-04-26 23:36:36
493,Fort Nelson,58.8053,-122.7002,42.39,75,75,6.91,CA,2022-04-26 23:40:36
494,Leirvik,59.7798,5.5005,47.62,77,63,3.18,NO,2022-04-26 23:40:36
495,Stornoway,58.2093,-6.3865,44.56,79,44,5.75,GB,2022-04-26 23:40:36
496,General Bravo,25.8,-99.1667,72.99,76,92,12.35,MX,2022-04-26 23:40:37
497,Sao Joao Dos Patos,-6.495,-43.7022,73.81,74,9,3.53,BR,2022-04-26 23:39:08
498,Hirara,24.8,125.2833,80.87,89,40,12.66,JP,2022-04-26 23:40:37
