City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Weather Description
146,Mar Del Plata,-38.0023,-57.5575,55.42,74,75,11.99,AR,broken clouds
147,East London,-33.0153,27.9116,61.74,77,0,9.22,ZA,clear sky
148,Salinopolis,-0.6136,-47.3561,80.62,82,98,7.11,BR,overcast clouds
149,Bethel,41.3712,-73.414,72.18,36,98,3.0,US,overcast clouds
150,Thaba Nchu,-29.2093,26.839,52.09,46,0,1.54,ZA,clear sky
151,Puerto Ayora,-0.7393,-90.3518,82.36,81,68,9.17,EC,broken clouds
152,Aklavik,68.2191,-135.0107,42.8,56,20,9.22,CA,few clouds
153,Carnarvon,-24.8667,113.6333,64.47,77,0,8.05,AU,clear sky
154,Sept-Iles,50.2001,-66.3821,54.12,40,40,9.22,CA,scattered clouds
155,Zhigansk,66.7697,123.3711,8.44,95,39,12.55,RU,scattered clouds
156,Volchansk,59.9378,60.081,28.27,92,64,4.14,RU,broken clouds
157,San Quintin,30.4833,-115.95,65.64,67,1,13.87,MX,clear sky
158,Kirakira,-10.4544,161.9205,79.12,84,100,5.55,SB,moderate rain
159,Ponta Do Sol,32.6667,-17.1,71.71,63,0,3.56,PT,clear sky
160,Bose,45.4612,8.0137,62.19,61,9,3.04,IT,clear sky
161,Rincon,32.296,-81.2354,82.36,51,75,10.36,US,broken clouds
162,Skibbereen,51.55,-9.2667,54.1,87,79,12.75,IE,broken clouds
163,Hamilton,39.1834,-84.5333,75.97,36,0,26.46,US,clear sky
164,Georgetown,5.4112,100.3354,84.13,88,20,2.3,MY,few clouds
165,Waipawa,-41.4122,175.5153,57.07,78,100,12.64,NZ,overcast clouds
166,Severo-Kurilsk,50.6789,156.125,33.51,87,77,10.67,RU,broken clouds
167,Katherine,-14.4667,132.2667,73.72,60,24,6.91,AU,few clouds
168,Verkhnyaya Inta,65.9811,60.3094,20.43,86,63,5.35,RU,broken clouds
169,Vestmannaeyjar,63.4427,-20.2734,49.19,71,0,17.27,IS,clear sky
170,Salym,60.0625,71.4789,35.11,62,100,4.09,RU,overcast clouds
171,Yar-Sale,66.8333,70.8333,11.37,91,15,6.71,RU,few clouds
172,Sindhnur,15.7833,76.7667,89.53,37,58,15.86,IN,broken clouds
173,Axim,4.8699,-2.2405,80.91,82,27,7.94,GH,scattered clouds
174,Kapaa,22.0752,-159.319,75.47,81,40,20.71,US,scattered clouds
175,Bereda,43.2686,-7.5406,56.41,87,97,4.32,ES,overcast clouds
176,Olafsvik,64.8945,-23.7142,37.47,60,18,18.66,IS,few clouds
177,Atuona,-9.8,-139.0333,78.67,79,100,14.5,PF,light rain
178,Staryy Krym,45.0333,35.1,46.99,77,6,5.86,UA,clear sky
179,Whitehorse,60.7161,-135.0538,46.02,50,100,13.8,CA,overcast clouds
180,Kazachinskoye,57.6953,93.2761,38.62,77,100,10.74,RU,overcast clouds
181,Husavik,66.0449,-17.3389,28.6,74,100,12.08,IS,overcast clouds
182,Necochea,-38.5473,-58.7368,53.51,59,96,11.7,AR,overcast clouds
183,Koutiala,12.3917,-5.4642,88.47,42,100,14.47,ML,light rain
184,Iqaluit,63.7506,-68.5145,26.33,79,75,4.61,CA,broken clouds
185,Salalah,17.0151,54.0924,83.79,79,2,3.02,OM,clear sky
186,Polican,40.6122,20.0981,58.1,83,100,2.08,AL,light rain
187,Bathsheba,13.2167,-59.5167,86.61,66,40,18.41,BB,scattered clouds
188,Sault Sainte Marie,46.5168,-84.3333,43.09,87,100,12.66,CA,moderate rain
189,Fort Erie,42.9001,-78.9329,57.06,76,100,9.22,CA,overcast clouds
190,Esperance,-33.8667,121.9,55.24,69,0,4.59,AU,clear sky
